id,customerid,neighborhood,city,state,zipcode,status
C7C89193-B7Ac-44Ab-A03B-94E369609581,41Bb8D29-1926-4525-A6A8-881F15E0E664,Vila Nilo,São Paulo,Sp,02276-140,1
9803F5D6-09D0-49C9-B60C-4C14A18Fdcb5,41Bcabd4-85E5-402A-80B1-87224F16Ff85,Santana,São Paulo,Sp,02035011,1
Ce2Cd429-9244-437A-A7Dc-70385E2Fd745,41Bcc358-509D-4839-9Bda-8D4192E49880,Jardim São Paulo,São Paulo,Sp,02039010,1
E2Eda765-13Eb-4029-A1Fb-73998C3Ef53C,41Bd6C5D-Ce54-4Ab0-Bdcd-B44Cf9809Ed4,Maranhão,São Paulo,Sp,03072020,1
Cc44C1E8-334C-42F7-837C-9Feeac945C72,41Be0063-D4B2-4E78-Ae70-022C8D52C6Bf,Chácara Cruzeiro Do Sul,São Paulo,Sp,03732060,1
43577325-6E27-4Fac-A2Fa-9E868Ce5E6Cb,41Be11Af-Bb76-4358-9184-B2C7E94Ea138,Vila Cachoeira,São Paulo,Sp,02343000,1
3F0173F6-786A-48E0-Beba-B8678F6Eb7E5,41Bf6865-42D4-493A-8D2C-E9F1Dd904864,Vila Nova,Barra Mansa,Rj,27321060,1
4B43D189-3601-44A5-Ba07-C963F3F596B9,41Bf6865-42D4-493A-8D2C-E9F1Dd904864,Cabral,Resende,Rj,27534160,1
6E7Aedf3-0Ff6-450C-A2Fd-D1981Bbf891A,41Bf6865-42D4-493A-8D2C-E9F1Dd904864,Isaac Politi,Resende,Rj,27540275,1
Dcc0F5A9-4877-4Aa2-88B2-Ed8919A95A98,41Bf6865-42D4-493A-8D2C-E9F1Dd904864,Parque Xerem,Duque De Caxias,Rj,25245700,1
Dcc17875-32D6-4552-A93A-49044762C8C7,41Bf6865-42D4-493A-8D2C-E9F1Dd904864,Praca Da Bandeira,Rio De Janeiro,Rj,20260010,1
5Dce0E07-Bedb-4932-97F2-B0A791Bda466,41C07E25-C404-401F-9726-81C59D8Bd8Ec,Mooca,São Paulo,Sp,03123140,1
00B97893-6C35-4153-A58C-F123Eb1854A0,41C0Abf6-15A6-4F7F-A06F-Af21D8589Ecc,Vila Penteado,São Paulo,Sp,02866100,1
5Cb3831D-Cd26-47F0-984C-4507551E4Aea,41C0Abf6-15A6-4F7F-A06F-Af21D8589Ecc,Jardim Maristela,São Paulo,Sp,02807020,1
86491A94-C32F-4721-B806-Cfe86F39Dd75,41C0Abf6-15A6-4F7F-A06F-Af21D8589Ecc,Vila Bela Vista (Zona Norte),São Paulo,Sp,02617100,1
84F91Ca2-C479-4970-Aa39-00Dbdb6Dc6Eb,41C0Edb7-E65D-4639-A636-0472Adb23913,Jardim Vinte E Cinco De Agosto,Duque De Caxias,Rj,25075030,1
36F29467-5906-4E86-Ac53-00Fd2099D9Ee,41C252F7-7D24-4Fe4-9D61-01944Ed6Ef55,São Lucas,São Paulo,Sp,03264190,1
38Ca23C4-3Fa1-4513-A1Ad-B008Bf3Bc2D6,41C2E7D9-2E40-4C7C-A8B6-56412Fae0981,Jardim Mariliza,Goiânia,Go,74885-250,1
08273E59-6Bbe-40A6-Bb74-B17Bc9781C46,41C37712-14B2-4413-9A15-1Fadb9F85424,Tucuruvi,São Paulo,Sp,02330000,1
85938C25-8A43-47Af-A598-5D1E4B34444F,41C53A04-1Ba7-444E-8Ec4-Ba772A770515,Parque Paraiso,Itapecerica Da Serra,Sp,06850340,1
5Ab775Fb-80Fb-4631-9Ed8-632Bbe2Fccd3,41C62370-43Db-4537-B14B-Cbe926E6Bc9F,Vila Aurora (Zona Norte),São Paulo,Sp,02411010,1
5F6C6C32-0554-436B-B93E-A55664E098C7,41C6Bdc2-Eaf4-4560-B02A-F1178Cb403Cc,Paciência,Rio De Janeiro,Rj,00023595,1
671037F4-80B1-45A6-8216-0194Ac72615A,41C96F35-7338-4D58-Bbe5-8Bb003Df6495,Jardim Floresta,Boa Vista,Rr,69312439,1
15260E84-53Cf-4323-8Fd6-Dd90Cd5E0Eb2,41Cbb9Fd-Eced-4A49-9A80-18F06E76E2E4,Caimbé,Boa Vista,Rr,69312179,1
104D033F-Dd9E-4D48-A5C5-A4350E336112,41Cbcb16-Eaca-4D83-A721-Ace563785230,Vila Militar,Rio De Janeiro,Rj,21615110,1
Fc4C0B0F-F205-4Dec-Be1F-A21850Db1148,41Cbe17D-B3Bf-40Ad-83A3-1Be67B41C41A,Piraporinha,Diadema,Sp,09950300,1
88Eea42F-74Ea-45C1-9415-2C95Ed1E59A8,41Cd7Eea-9B5C-4B0B-B349-C421D83E57E0,Vila Alpina,São Paulo,Sp,03204010,1
75C50861-5663-44Bc-9E3C-D20Be85D64Ab,41Cd91A8-8Fb9-4748-83E6-F1479Ae7Ba53,Jardim Vista Alegre,São Paulo,Sp,02876000,1
422C1E19-6B59-4E86-9460-B58124Cdb660,41Cf15B7-Ce68-4273-B9Db-3A51F9C40585,Cidade Satélite,Boa Vista,Rr,69317460,1
